id,Area,BHK,Bathroom,Furnishing,Locality,Place,Parking,Price,Status,Transaction,Type,Per_Sqft
92,2306,3,3,Unfurnished,"The Leela Sky Villas, Patel Nagar",Patel Nagar,1,57000000,Almost_ready,New_Property,Apartment,24718
93,2100,4,5,Semi-Furnished,New Friends Colony,New Friends Colony,2,56000000,Ready_to_move,New_Property,Builder_Floor,15459
94,2100,4,5,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",Hauz Khas,1,56000000,Ready_to_move,New_Property,Builder_Floor,17677
95,1900,3,3,Semi-Furnished,"The Leela Sky Villas, Patel Nagar",Patel Nagar,1,55300000,Almost_ready,New_Property,Apartment,7500
96,4118,4,5,Unfurnished,Chittaranjan Park,Chittarajan,3,55000000,Ready_to_move,New_Property,Builder_Floor,12916
97,2100,4,4,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,3,55000000,Ready_to_move,New_Property,Builder_Floor,25000
98,2250,4,5,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,2,55000000,Ready_to_move,New_Property,Builder_Floor,14818
99,2700,4,4,Semi-Furnished,Lajpat Nagar 3,Lajpat,2,55000000,Ready_to_move,Resale,Builder_Floor,183333
100,4500,4,4,Semi-Furnished,New Friends Colony,New Friends Colony,2,55000000,Ready_to_move,Resale,Builder_Floor,23529
101,4500,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,55000000,Ready_to_move,Resale,Builder_Floor,20930
102,1800,4,3,Semi-Furnished,"Vasant Vihar Builder Floor, Vasant Vihar",Vasant kunj,2,55000000,Ready_to_move,Resale,Builder_Floor,30556
103,3250,4,4,Semi-Furnished,"Safdarjung Enclave carpet area 3250 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered bathroom 4 balcony 3 ownership Freehold Near Buy Green park Metro station. The location of the property is Awesome and Peaceful. The construction is very Highend and Very tasteful Done-up. The Same property is location on the FF. 4 Side corner read more Contact Agent Enquire Now Share Feedback Crisil Silver Agent Findahouse Real Estate Consultants LLP 2000+ Buyers Served",Safdarjung Enclave,1,55000000,Ready_to_move,Resale,Builder_Floor,14818
104,2600,4,5,Semi-Furnished,"Geetanjali Enclave Project, Geetanjali Enclave, Malviya Nagar",Malviya Nagar,3,52500000,Ready_to_move,New_Property,Builder_Floor,14888
105,2200,4,4,Semi-Furnished,"Safdarjung Enclave super area 2200 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing South overlooking Main Road car parking 3 Covered, 2 Open bathroom 4 balcony 3 ownership Freehold Newly Constructed Property Wide Road 450 Yards 2nd floor brand new 4 bhk attached bathrooms with full lighted and ventilated house.Most Valuable DealSEE TO BELIEVE read more Contact Agent View Phone No. Share Feedback Crisil Bronze Agent Panchsheel Homes 500+ Buyers Served",Safdarjung Enclave,3,52500000,Ready_to_move,New_Property,Builder_Floor,23863
106,1700,4,5,Unfurnished,Safdarjung Enclave,Safdarjung Enclave,2,52500000,Ready_to_move,Resale,Builder_Floor,14818
107,2650,4,5,Furnished,Commonwealth Games Village 2010,Common wealth games,2,52500000,Ready_to_move,Resale,Apartment,19811
108,2700,4,4,Semi-Furnished,"New Friends Colony Floors, New Friends Colony",New Friends Colony,2,52500000,Ready_to_move,New_Property,Builder_Floor,23529
109,2500,4,4,Semi-Furnished,"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",Common wealth games,2,52500000,Ready_to_move,Resale,Apartment,21000
110,2445,4,4,Semi-Furnished,"DLF Capitals Phase III, Shivaji Park, Punjabi Bagh",Punjabi Bhag,1,52500000,Ready_to_move,Resale,Apartment,11905
111,2805,4,4,Unfurnished,"The Amaryllis, Karol Bagh",karol bagh,2,52300000,Almost_ready,Resale,Apartment,14092
112,2050,4,4,Semi-Furnished,Saket,saket,2,52100000,Ready_to_move,New_Property,Apartment,17647
113,2107,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,51100000,Ready_to_move,New_Property,Apartment,20930
114,2177,4,5,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,51000000,Ready_to_move,New_Property,Builder_Floor,20833
115,24300,4,5,Semi-Furnished,Saket,saket,2,51000000,Ready_to_move,Resale,Builder_Floor,12500
116,22050,4,4,Semi-Furnished,Greater Kailash 1,kailash,2,51000000,Almost_ready,New_Property,Builder_Floor,30556
117,2900,5,5,Furnished,Janakpuri Block A3,Janakpuri Block A3,1,51000000,Almost_ready,New_Property,Builder_Floor,22222
118,1800,3,3,Furnished,"Patel Nagar East, Patel Nagar",Patel Nagar,3,50000000,Ready_to_move,Resale,Apartment,27778
119,3002,4,5,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",Moti Nagar,2,50000000,Ready_to_move,Resale,Apartment,
120,2200,4,4,Semi-Furnished,"Kalindi Colony, Maharani Bagh, New Friends Colony",New Friends Colony,2,50000000,Ready_to_move,Resale,Builder_Floor,15459
121,2250,4,4,Semi-Furnished,"Punjabi Bagh Enclave, Punjabi Bagh West",Punjabi Bhag,2,50000000,Ready_to_move,New_Property,Builder_Floor,
122,2500,3,3,Semi-Furnished,"Maharani Bagh, New Friends Colony",New Friends Colony,2,50000000,Ready_to_move,Resale,Apartment,120000
123,1400,3,3,Semi-Furnished,New Friends Colony,New Friends Colony,2,50000000,Ready_to_move,New_Property,Builder_Floor,23529
124,2520,3,3,Unfurnished,Hauz Khas,Hauz Khas,0,47500000,Ready_to_move,New_Property,Builder_Floor,
125,2200,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,47500000,Ready_to_move,New_Property,Builder_Floor,
126,2200,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,47500000,Ready_to_move,New_Property,Builder_Floor,20000
127,4500,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,47500000,Ready_to_move,Resale,Builder_Floor,95000
128,1700,3,3,Semi-Furnished,Chittaranjan Park,Chittarajan,2,47500000,Ready_to_move,New_Property,Builder_Floor,20938
129,2050,4,4,Semi-Furnished,Saket,saket,1,47500000,Ready_to_move,New_Property,Builder_Floor,28846
130,1800,3,4,Semi-Furnished,Hauz Khas,Hauz Khas,2,47000000,Ready_to_move,New_Property,Builder_Floor,18055
131,2300,4,5,Semi-Furnished,"New Moti Nagar, Kirti Nagar",Moti Nagar,3,46500000,Ready_to_move,New_Property,Apartment,
132,2880,4,5,Unfurnished,Lajpat Nagar 3,Lajpat,1,46000000,Ready_to_move,New_Property,Builder_Floor,15972
133,1800,4,4,Unfurnished,Punjabi Bagh West,Punjabi Bhag,2,45500000,Almost_ready,New_Property,Builder_Floor,
134,3510,4,4,Semi-Furnished,"Friends Colony West, New Friends Colony",New Friends Colony,2,45000000,Ready_to_move,Resale,Builder_Floor,
135,2150,4,4,Unfurnished,"Kailash Colony, Greater Kailash",kailash,2,45000000,Ready_to_move,New_Property,Builder_Floor,20930
136,1700,3,4,Unfurnished,Hauz Khas,Hauz Khas,2,45000000,Ready_to_move,New_Property,Builder_Floor,
137,1500,3,4,Unfurnished,Hauz Khas,Hauz Khas,2,45000000,Ready_to_move,Resale,Builder_Floor,18055
138,1450,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,1,45000000,Ready_to_move,New_Property,Builder_Floor,16176
139,3500,3,3,Unfurnished,"Maharani Bagh, New Friends Colony",New Friends Colony,1,45000000,Ready_to_move,Resale,Builder_Floor,15459
140,1674,3,3,Unfurnished,Saket,saket,1,45000000,Ready_to_move,Resale,Builder_Floor,6944
141,1450,3,3,Semi-Furnished,"Safdarjung Development Area, Hauz Khas",Safdarjung Enclave,1,45000000,Ready_to_move,New_Property,Builder_Floor,37037
142,2090,3,4,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,2,44000000,Ready_to_move,Resale,Apartment,21052
143,2175,4,4,Unfurnished,"DLF Capital Greens, Moti Nagar, Kirti Nagar ( 1 km from New Moti Nagar, Kirti Nagar)",Moti Nagar,1,44000000,Ready_to_move,Resale,Apartment,8889
144,2659,4,5,Unfurnished,"New Moti Nagar, Kirti Nagar",Moti Nagar,3,43500000,Ready_to_move,Resale,Apartment,10838
145,2700,4,4,Semi-Furnished,Saket,saket,2,43500000,Ready_to_move,New_Property,Builder_Floor,18000
146,1800,3,3,Semi-Furnished,Hauz Khas,Hauz Khas,2,43500000,Ready_to_move,New_Property,Builder_Floor,24166
147,2525,4,5,Semi-Furnished,"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",Common wealth games,3,43200000,Ready_to_move,Resale,Apartment,21052
148,2200,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",karol bagh,1,43100000,Ready_to_move,New_Property,Apartment,13324
149,2799,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,43000000,Ready_to_move,New_Property,Builder_Floor,15363
150,2500,4,5,Semi-Furnished,"Project Commonwealth Games Village 2010, Akshardham Temple",Common wealth games,3,42500000,Ready_to_move,Resale,Apartment,17000
151,2552,4,5,Furnished,"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",Common wealth games,3,42500000,Ready_to_move,New_Property,Apartment,16654
152,2430,4,5,Semi-Furnished,"New Moti Nagar, Kirti Nagar",Moti Nagar,2,42500000,Ready_to_move,Resale,Apartment,
153,2800,4,5,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",Moti Nagar,2,42500000,Ready_to_move,Resale,Apartment,15178
154,2610,4,4,Semi-Furnished,Safdarjung Enclave carpet area 290 sqyrd status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing West overlooking Main Road car parking 2 Open bathroom 4 balcony 3 ownership Freehold Opposite Deer Park.The property comes with independent Terrace. The area is centrally located and close to ring road which allows easy acess to all other areas.Renowned Delhi Lawn Tennis Association is within 10 minutes walking distance.Green park market is walkable distance. read more Contact Owner View Phone No. Share Feedback Owner Hemant pajankar,Safdarjung Enclave,2,42500000,Ready_to_move,Resale,Builder_Floor,14818
155,2065,3,4,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,2,42500000,Ready_to_move,Resale,Apartment,20581
156,2592,4,3,Unfurnished,Punjabi Bagh,Punjabi Bhag,2,42500000,Ready_to_move,Resale,Builder_Floor,
157,2700,4,3,Semi-Furnished,"Guru Harikishan Nagar, Paschim Vihar",Paschim vihar,1,42500000,Ready_to_move,Resale,Builder_Floor,14722
158,2105,3,3,Unfurnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,3,42100000,Ready_to_move,Resale,Apartment,20558
159,1350,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,1,41500000,Ready_to_move,New_Property,Builder_Floor,
160,2210,4,3,Semi-Furnished,"Sukhdev Vihar, Okhla",okhla,1,41000000,Ready_to_move,Resale,Builder_Floor,6667
161,2210,4,3,Semi-Furnished,"Sukhdev Vihar, Okhla",okhla,1,41000000,Ready_to_move,Resale,Builder_Floor,10320
162,1700,3,4,Semi-Furnished,Commonwealth Games Village 2010,Common wealth games,2,40000000,Ready_to_move,Resale,Apartment,17619
163,2800,4,4,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",Moti Nagar,2,40000000,Ready_to_move,Resale,Apartment,14285
164,1800,4,4,Semi-Furnished,Chittaranjan Park,Chittarajan,2,40000000,Ready_to_move,New_Property,Builder_Floor,6878
165,1600,3,3,Semi-Furnished,New Friends Colony,New Friends Colony,2,40000000,Ready_to_move,Resale,Apartment,15459
166,1500,3,3,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,40000000,Ready_to_move,New_Property,Builder_Floor,20833
167,2200,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,1,40000000,Ready_to_move,New_Property,Builder_Floor,20000
168,1500,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,1,40000000,Ready_to_move,Resale,Builder_Floor,26666
169,2000,4,2,Furnished,Vasant Kunj Sector B,Vasant kunj,1,40000000,Ready_to_move,New_Property,Apartment,14358
170,2000,4,4,Semi-Furnished,"The Amaryllis, Karol Bagh",karol bagh,1,39700000,Almost_ready,New_Property,Apartment,14776
171,2126,3,3,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,2,39000000,Ready_to_move,Resale,Apartment,18344
172,1700,3,3,Semi-Furnished,"Friends Colony East, New Friends Colony",New Friends Colony,2,38500000,Ready_to_move,New_Property,Builder_Floor,120000
173,2282,4,5,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",Moti Nagar,2,38000000,Ready_to_move,Resale,Apartment,5806
174,2000,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,38000000,Ready_to_move,Resale,Builder_Floor,20930
175,2022,3,3,Semi-Furnished,"Project Commonwealth Games Village 2010, Akshardham Temple",Common wealth games,2,38000000,Ready_to_move,Resale,Apartment,18793
176,1550,3,3,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,1,38000000,Ready_to_move,New_Property,Builder_Floor,14818
177,1800,3,3,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,0,37500000,Ready_to_move,New_Property,Builder_Floor,
178,1500,3,3,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,4,37500000,Ready_to_move,New_Property,Builder_Floor,25000
179,2282,4,5,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",Moti Nagar,2,37500000,Ready_to_move,Resale,Apartment,8889
180,2250,4,4,Unfurnished,Punjabi Bagh,Punjabi Bhag,2,37500000,Ready_to_move,New_Property,Builder_Floor,11905
181,1450,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,2,37500000,Ready_to_move,New_Property,Builder_Floor,
182,2070,3,3,Semi-Furnished,"Friends Colony East, New Friends Colony",New Friends Colony,2,37500000,Ready_to_move,New_Property,Builder_Floor,15459
183,1850,3,3,Unfurnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,2,37500000,Ready_to_move,Resale,Apartment,20270
184,2000,3,3,Unfurnished,"Sarva Priya Apartment, Hauz Khas",Hauz Khas,2,37500000,Ready_to_move,Resale,Apartment,30000
185,2000,3,3,Semi-Furnished,"Patel Nagar East, Patel Nagar",Patel Nagar,1,37500000,Ready_to_move,Resale,Apartment,23840
